- ,-,-,-,-,-,-,-,-,17,10,8,18,19,15,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,23,25,21,17,11,7,10,14,9,13,18,20,-,-,-,-,-,-
-,-,-,-,-,16,12,15,13,11,9,5,7,10,11,14,12,18,18,-,-,-,-,-
-,-,-,-,16,9,10,14,13,11,9,6,6,9,11,11,9,17,19,25,-,-,-,-
-,-,-,19,9,8,10,6,12,8,3,3,8,10,8,9,11,15,17,19,24,-,-,-
-,-,22,13,8,8,7,7,9,8,1,4,9,13,10,4,13,14,16,18,18,21,-,-
-,24,18,11,11,10,9,9,10,9,5,5,4,8,7,4,2,8,14,19,17,16,13,-
-,26,16,13,10,10,10,11,11,7,2,7,9,7,7,7,2,9,9,13,13,11,9,-
-,17,13,13,9,8,8,6,7,8,10,6,7,10,10,8,8,6,6,11,7,9,7,-
20,15,15,10,11,8,14,11,9,7,7,7,8,6,3,1,4,2,4,5,9,0,2,5
16,9,13,14,12,9,7,9,9,5,3,1,4,6,10,9,9,11,7,10,4,8,6,12
20,11,8,13,13,11,11,9,6,4,6,9,10,7,4,4,3,5,7,7,4,10,14,18
21,11,10,9,10,9,10,10,8,7,6,10,6,4,5,8,6,5,6,10,7,10,16,29
15,10,5,4,9,8,14,9,7,6,8,9,6,7,7,8,7,6,5,6,9,10,10,14
15,10,6,6,4,5,9,7,7,6,3,4,9,5,3,6,8,7,7,6,5,8,12,11
-,12,6,9,9,4,6,6,7,7,7,2,3,7,5,5,4,5,6,7,7,6,11,-
-,14,7,11,12,5,7,3,4,7,9,4,5,8,10,6,7,5,6,7,3,2,8,-
-,15,6,8,5,6,7,7,9,5,5,7,6,4,2,2,7,3,6,6,4,7,7,-
-,-,14,7,7,8,5,5,9,4,3,3,3,2,5,6,5,6,6,8,11,18,-,-
-,-,-,16,8,8,12,6,7,5,6,5,7,6,5,7,8,4,8,8,11,-,-,-
-,-,-,-,19,4,3,5,6,7,8,3,9,9,4,5,12,2,1,12,-,-,-,-
-,-,-,-,-,10,10,6,7,6,5,4,4,7,8,2,10,10,9,-,-,-,-,-
-,-,-,-,-,-,16,12,11,9,6,9,5,6,5,9,9,11,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,14,11,13,10,10,14,-,-,-,-,-,-,-,-,-
